,0,1,2
"[18.95604133605957, 0.125, False]",-0.0046272647380828855,0.0,0.0
"[96.27264738082886, -0.03125, False]",0.0,-0.0019703114032745364,0.0
"[69.70311403274536, 0.1875, False]",-0.0020398223400115967,0.0,0.0
"[70.39822340011597, -0.03125, False]",-0.01,0.0,0.0
"[109.71688032150269, 0.125, False]",-0.0038724577426910403,0.0,0.0
"[88.7245774269104, -0.09375, False]",-0.0030677664279937745,0.0,0.0
"[80.67766427993774, 0.03125, False]",0.0,0.0,-0.0007747232913970948
"[57.74723291397095, 0.0, False]",0.00024994969367980957,0.0,0.0
"[47.500503063201904, -0.09375, False]",0.0,-0.01,0.0
"[18.326354026794434, 0.0, False]",0.0,0.0,-0.005437271595001221
"[104.3727159500122, 0.15625, False]",0.0,0.0,-0.01
"[112.14567422866821, -0.03125, False]",0.0,-0.004289932250976562,0.0
"[92.89932250976562, 0.25, False]",-0.00321455717086792,0.0,0.0
"[82.1455717086792, -0.09375, False]",0.0,-0.0017691385746002198,0.0
"[67.6913857460022, 0.125, False]",-0.0013046419620513917,0.0,0.0
"[63.046419620513916, 0.03125, False]",0.0,0.0,-0.01
"[69.09795999526978, 0.15625, False]",0.0,-0.00358828067779541,0.0
"[85.8828067779541, 0.125, False]",0.0,-0.002090933322906494,0.0
"[70.90933322906494, 0.0625, False]",0.0,-0.01,0.0
